cycles/px,mtf,lp/mm,
0.409001957,0.001149391,2.869185516,
0.410958904,0.001212839,3.027569064,
0.412915851,0.001267072,3.162948477,
0.414872798,0.001306792,3.262100414,
0.416829746,0.001326658,3.311691597,
0.418786693,0.001322125,3.300377419,
0.42074364,0.001290064,3.220342693,
0.422700587,0.00122913,3.068236904,
0.424657534,0.001139924,2.845553062,
0.426614481,0.001024942,2.558529165,
0.428571429,0.00088839,2.217658497,
0.430528376,0.000735861,1.836905256,
0.432485323,0.000573962,1.432761297,
0.43444227,0.000409992,1.023448665,
0.436399217,0.000252211,0.629584944,
0.438356164,0.000115652,0.288698721,
0.440313112,8.92E-05,0.222545067,
0.442270059,0.00018476,0.461210966,
0.444227006,0.000280069,0.699127453,
0.446183953,0.000360546,0.900018058,
0.4481409,0.000427054,1.066040426,
0.450097847,0.000483645,1.207307841,
0.452054795,0.000535342,1.336356074,
0.454011742,0.000586487,1.464029049,
0.455968689,0.000639348,1.595983367,
0.457925636,0.000693431,1.730989132,
0.459882583,0.000745744,1.86157524,
0.46183953,0.000791702,1.976299159,
0.463796477,0.000826204,2.062425784,
0.465753425,0.000844539,2.108195151,
0.467710372,0.000843029,2.104425934,
0.469667319,0.000819431,2.045517203,
0.471624266,0.000773156,1.93000381,
0.473581213,0.00070539,1.760842005,
0.47553816,0.000619192,1.545668922,
0.477495108,0.000519788,1.297528369,
0.479452055,0.000415551,1.03732681,
0.481409002,0.000320968,0.801220715,
0.483365949,0.000262227,0.654587924,
0.485322896,0.000268331,0.669825538,
0.487279843,0.000330814,0.825800792,
0.489236791,0.000416389,1.039417128,
0.491193738,0.000503309,1.256393971,
0.493150685,0.000581142,1.450684462,
0.495107632,0.000644711,1.609369645,
0.497064579,0.000691338,1.725762773,
0.499021526,0.000719683,1.79651978,
0.500978474,0.000729164,1.820186718,
0.502935421,0.000719609,1.796335363,
0.504892368,0.000691049,1.725042591,
0.506849315,0.000643622,1.606651588,
0.508806262,0.000577577,1.441787036,
0.510763209,0.000493368,1.231578105,
0.512720157,0.000391791,0.978014407,
0.514677104,0.000274147,0.684344153,
0.516634051,0.000142395,0.355454926,
0.518590998,5.85E-06,0.014595104,
0.520547945,0.000152598,0.380924939,
0.522504892,0.000308141,0.76920333,
0.52446184,0.00046338,1.156719117,
0.526418787,0.000613534,1.531545101,
0.528375734,0.000753848,1.88180477,
0.530332681,0.000879847,2.196333493,
0.532289628,0.00098762,2.46536312,
0.534246575,0.001074057,2.681132013,
0.536203523,0.001137041,2.838358342,
0.53816047,0.001175566,2.934526886,
0.540117417,0.001189758,2.969953031,
0.542074364,0.001180805,2.947604466,
0.544031311,0.001150791,2.872682358,
0.545988258,0.001102443,2.751991298,
0.547945205,0.001038816,2.593162934,
0.549902153,0.000962975,2.403842935,
0.5518591,0.000877712,2.191002751,
0.553816047,0.00078541,1.960592362,
0.555772994,0.000688153,1.71781377,
0.557729941,0.000588248,1.468423007,
0.559686888,0.000489471,1.221849966,
0.561643836,0.000399742,0.997862426,
0.563600783,0.000335786,0.838210627,
0.56555773,0.000323283,0.806999602,
0.567514677,0.000374136,0.933943267,
0.569471624,0.000470558,1.174638762,
0.571428571,0.000589115,1.470587764,
0.573385519,0.000714172,1.78276314,
0.575342466,0.000835701,2.086131806,
0.577299413,0.000946509,2.362739921,
0.57925636,0.001041085,2.598824939,
0.581213307,0.00111526,2.783986957,
0.583170254,0.001166194,2.911131404,
